Block: 424
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentCode DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
113118 424 2024-03-20T18:07:14.566Z 2024-03-20T18:07:12.157Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c e863eb69c52e9470fc65b838673801847703f3db1f9b384a3eb6234c713fea99 b540e4e597f086d0291335e94b555a07f4e48a86241576eb8062b15b33ae7a2d 0db912a053d9199349bb3d59bb94c46740199cb5f6901d6ed5490ed0cae42deb b589924b20c4596a4a84f490dc8b7ca2f1b214bfd6f334504d1570367f3219bd CRE RGS 1 039d51c2769cf1462148aba461f4208e63906ec429e30608c57078d8be915e3f29 039b076cb9547e5b731be13cffa34d732cb6fd81c255caa2f695da03333a72d9f6 qjEq0vtgk12I0Ld38+btgNs9kx7NpFxE5MultwTI+1QTgdBDpTKNhmUW/LfpJv+E2FNotIn6CQBv4R5/drfkYg== 0db912a053d9199349bb3d59bb94c46740199cb5f6901d6ed5490ed0cae42deb 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 YJ23+A8Ef4dgdEMiInW+A//KK3x8SSk9fyxw8vimqfPbY7bzQkE4VjT7T99TFILGW5OSQ3U270/H7ATLsFPbnw== +tdq0uJTyg8MO9+Z0EAgRoKrMZZ/qhyfBIN6tux4QYw4u8GSZx1ZNmllc1tf18eQi8hsM5bXuaY50/vwhQfukA==
113119 424 2024-03-20T18:07:24.633Z 2024-03-20T18:07:23.580Z d60f928eb1ea4511f7fc2841812bcabf3b8d1a473b56ebea3839d381d6e7b2d8 d60f928eb1ea4511f7fc2841812bcabf3b8d1a473b56ebea3839d381d6e7b2d8 d60f928eb1ea4511f7fc2841812bcabf3b8d1a473b56ebea3839d381d6e7b2d8 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 423 037ca6a1c76681a536c9edb6589cf3f64425939bf6abde93b86feb709c5e15e8b3 03f0a16c6cd44ed0cdfbb13436804ab2e0cccdff3b3d6babbc1a7f20d348a0e7ce bVA7TvAs3RR5ChpXHMjGQe9gcoltLOHzk7E1avP90nzBchNe3kYx3rd/BefpLBwH+NbHRUG8GtWVjJPpsni98A== d60f928eb1ea4511f7fc2841812bcabf3b8d1a473b56ebea3839d381d6e7b2d8 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 42MrRiAtoQmf5d9Jf1Z2f8y+1f7UyIE4zpcLm9JUsU0beTHG+NJpgdZoEHVUZTDSUV05ZCNDucQtsbLgjZt54w== eh3ltgY8kt6NJYZwYnSTLp/5euvq8cGvVycdCVOGB1DWU8U2w+V07N1NR16OiVWVepwgESEqRvvO9epP2wYtYg==
113120 424 2024-03-20T18:07:32.356Z 2024-03-20T18:07:32.217Z 7a6ea1df4b07246b8e68307fc2bffc40869945e03851732e4590dd9c8acb09ca 7a6ea1df4b07246b8e68307fc2bffc40869945e03851732e4590dd9c8acb09ca 7a6ea1df4b07246b8e68307fc2bffc40869945e03851732e4590dd9c8acb09ca 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 423 02715f03ec096aa961174c822917ebcff336ba9207e3585dc9d343c913b72f1d6b 022770ec9a336223dfdb822c3b43cf4d4bec678d31de5c9a5104fa8d84ee659153 dQuF1TKyeNCW8r1S6bawAHvR9N+Fzk1e23p6RANUX4AqrrLAEkgZW3AcBRyX+jjmB9p5TRNaisxSwaXySGsiXA== 7a6ea1df4b07246b8e68307fc2bffc40869945e03851732e4590dd9c8acb09ca 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 pzN0IhsboAaIcPdrhRZwhyLwbw0dLPdwfoP4KHkMQUK/YiXuk9I8fB7DswlvC7qDC0wq+20pbkTKZB1ALx6pRw== L1HVRGBUbP8qpzOQU2teNdo4B1lu3v8V6PkKIYw1fqoQGjnYZr19ABIK+6/nqPjiYVItIFy5bIl5z7lUDyInbg==
113121 424 2024-03-20T18:08:35.004Z 2024-03-20T18:08:32.960Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c 6b4bffc58f3c0c23e56197563d221a6a2eefe15d0a1d3055e53cebdbf3c701ac daa9f933398810fcace3f6c4d2571735dc569ad669175166674696f2c27dd906 39e0ce59cbaac7641e5a6bb4766a7deb05e73e94eb5bc5f5558353151467484a 0dbcba9fd67a14c4fb5ba37a3759797e68b1634354e753db8140edac87bd83f2 AME RGS 2 039d51c2769cf1462148aba461f4208e63906ec429e30608c57078d8be915e3f29 021d19cd144dbaa885eb72fb4c2128bd2e4a97111d622cb8229f79a22a1d13402c X5HC3QDWj06tZqztaNwBcnnN1w9ujt40q9zRiIeVjvWm15X842164W72zdGD+1PJciN0yJmzs0YjofoHoWOrJA== 39e0ce59cbaac7641e5a6bb4766a7deb05e73e94eb5bc5f5558353151467484a /4/6cerCrpEc9QFWWpn/XTLn2S6t1YEsLqc4v0PGVCKz8eCwcotD5k7zij8wHqOIrzWQEuEQD5lHB88EUWEPvA== 05ndKOIIEENRVOEq2Xm7327RND/iLsh7J9ZERMx0eYI2TtJL49tM1Xrg7IJ4YZ54e0dV/dRsPSm6MYvzX3SMyQ== cncv2uoI86zIAv8s+/7w2vwxlk/+kc7ka5sZci24COtfa47SurGC0kLk4xbOTYYV9tFzo9nD3QO+vtR6NBrcLw==
113122 424 2024-03-20T18:10:05.889Z 2024-03-20T18:10:03.949Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c 91b1a7500412020f446b3c114ead4b5ff5263f81ed54bcafe19b929e38895ba8 08150a4b225d963d00949884a4d5d8b1b95dfe7877938cf85c2004c64d087e76 f4d2f004ab4867e9617935baac2d2e2c4c752a0279b2ab633e42f582835ac8c3 11a7a9dd09daec67a4f83af9de56837582a6cadf7c3ec40586947e00ca05c0d9 SIG RGS 3 039d51c2769cf1462148aba461f4208e63906ec429e30608c57078d8be915e3f29 03854c55d94b50d283d2ed92637a0098ad707d2ae5f35ce564ab5bc05694647fb9 2GhxEgPXVaDqQC3Ei31kDoio4VQ617arbXQF+RtYHt+pboRUxUEnijPkZt6k5JRV0QMb3vNhE/yYnd1guck2Yw== f4d2f004ab4867e9617935baac2d2e2c4c752a0279b2ab633e42f582835ac8c3 FBZGpHgM/6HbKWAaswT/Yimh94mybj9sDow9ehLRVwAbAvl9h3dsjVuIQW+3OxR6z7JEocBPpCmec7IJpw2EfQ== IWGsr0GzIZqJvgWt59hky0Nac6AoSmFDUqDkPhDvX0hgO4Sk4KwkICtLsKlAF5rnFFcd6uTctCM9uWmR1kRqrA== o6YAwU+ZE224hIoabWiIXdZJc2wB4Y0sMBaBywmntugo0qItvfTqcPLCyGL0r50mCDnPIYEEMoD9Xd0LYiOrnQ==
113123 424 2024-03-20T18:10:42.056Z 2024-03-20T18:10:40.383Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c cdbe76abf384abdbe4b05aa07e86b78c2029b49f24c1146b48916b958560f4ee 9ea5b5aa29ac9938f39073dbfeadc7c31ab0f90b3ed9af7438bb5feea8204c68 ad1044fb0786fba7e6e6a14b87fa9ca9351472ae40194f2e261fc1a093a8c01c 2c683dca9ea781333ac3e4efb2370cedff40dc575a9180f27a9604887e0a00d6 SIG RGS 4 039d51c2769cf1462148aba461f4208e63906ec429e30608c57078d8be915e3f29 0326864219d04120d7689ab2c82c5625e69a9a0eb5a55f1f629e3e4f3138b3a3e4 2ViN9rY6FAW/nQLN0zBKa42fxo0r+PtGeZWvPj+vLWdk/qMUBPitTKOh53j4aU+lYRYNrr1H5o1H8tVlA9W2wQ== ad1044fb0786fba7e6e6a14b87fa9ca9351472ae40194f2e261fc1a093a8c01c clbirFRKOEvGlZOvl3OV7WKjVbrc9rlR80bypW7M0ZG32zW5IIHJxn/ggcKfjEUkdjpjdZ1H6tmJS5Aslg4HeA== cV1Q/LB91LzIZva9mQDph5Ccqp3m1BTwvME5feuaMKxzS0lZDEkhafpkubsQF9uBh6n1fDegHQs7oBm+fxtvSQ== vohJraOBs8WNy6owEq+tTeLGUBfwHRejgC7DRLFSahcDPkSFMi2xFBMTcDj41K8AW+RROsU61ZtrBJcOzEQtTA==
113124 424 2024-03-20T18:13:27.466Z 2024-03-20T18:13:25.130Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c 55f2a8fea198ac21d913c33304010c594715169fa6e5208870b7b81d818d70fd 9e96c26b6e15802b73b262da094283e1d61783b160fd6e3c176c0b801e659861 4bdfc149aaf0f668b618b24f4ddbaba6cd41332dab8ca9bfee6540d5e1a4ed86 bc83a40558c573c525c1533cef9f3b372d65ed64a50e79e94060135e7bfe1f63 TRA RGS 5 035f7fd2386f38c0a94386554105bff832ca12d47623df988f2b9ba99153dbaf6b 03fa5c13b03b48d173fb47e43e29f741dc842c16e3cbfafb4f9308261e02f163e1 FP9FksnDXgI6Uzoh+5iKsxF66nnPVRxGBsSgyLcGIaCQR8Dsq0TiDUO5gFAUD6uOFFaT/4FDpUcUsi7UHYTKrQ== 4bdfc149aaf0f668b618b24f4ddbaba6cd41332dab8ca9bfee6540d5e1a4ed86 cCddFd8Il6CTtR+gmGfi56LCS+3ya5BMxcbLcg/XmKy/o33tIFDO6aEfQpI1MpPsNX6S4y1NzeshEKj4pQSoSg== Nb3UTSSv8OPO2YVGeMA43lZEmim8G2q0MhMnyiWRUncom+LSYZ44I23kWAOk/A+MRRJ9Ge0eIipUgEpL3+KPMA== x2CMGycy5Ug+vQJ1Gehga17PtWtv5o51t19VvBSYkUsIc/aoMaazdiXSOefpxmKUR101DXdW6Qm9WdgAKKfxvQ==
113125 424 2024-03-20T18:15:52.726Z 2024-03-20T18:15:51.523Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c 68aee2ebd42dc14745397fe415688588825678f8fe7c9eadfb2a813c9abfe159 bfdc4ce9356225e5d17927c544bad3e15142426a298a86e5ed85b3ab8cc3991c 96a47d53dcd4f6b0bd63a4662235b608e5645ec6aa1a61c13ee5eef27eeb8ae8 521ec6b661bcf9687817ecf09d103ae538e7981e5d2f92bb50c2d8002c5dfa59 AME RGS 6 035f7fd2386f38c0a94386554105bff832ca12d47623df988f2b9ba99153dbaf6b 03f32a53175a92a8bd260882b1d245e987626c47eed5569f0c2ad88f9f433403eb SHPilhOsX2+WPutdK9QMlSMOEu8gILTxZM2V3zZyL4PLL2HIBHYINMg9VLta/yKEHeCTQd7/SO5dGwdi5Ut6ww== 96a47d53dcd4f6b0bd63a4662235b608e5645ec6aa1a61c13ee5eef27eeb8ae8 8GQlh/cEd3ARXE3ckd/trju6GJUAN9iNgmFSzfbeC0rxHLWgZaLoqHWBsNk4U4jUdB2y3+gWbWUxC8+kq897Jw== 7KmuKpTzZHkfvjD6ZfuS/D5ggIyMmo+5Av7psfjVPnzF2Z4cnQEqdIuAmxhJD/rvvbGIUd4YuL+o0fj1zDJuag== WJekwyq3ZL+5fwggYkYbtAs0ci3IbK4GFGcFgmHZQNHM1jNyi+r0o3NLMEzn6nChkACz7RzwDTkPfPlDtQj0ig==
113126 424 2024-03-20T18:16:55.472Z 2024-03-20T18:16:53.936Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c 3e916570f107a092ee06f692f286f88d7202c94f6ecd256e8e3396fbaa340132 df777a24b46c9b4456fc7795a15fec94ae975151e621487ebd724fa0267b997c 77de3bd0b055db387d02c9c9eafbfb627fff0d02b36d0ae0a84e5adb543f5e6e 783fb6acc6519dbfd2aaf808fb9b5f563c000dfe086c9e875c952fe2439c3d7a AME RGS 7 035f7fd2386f38c0a94386554105bff832ca12d47623df988f2b9ba99153dbaf6b 031bfa349836c419d143ad994118a3a1c4488b811a1967b9e4cf36f017b8e770b3 hazK+cpT4H24mT0mxfJEw+tEGy73Fg7peeHZjm9jbBtnzfGUP0juuRFGZEyvlS+cRD2ML3j7pdZAF4HlYRUX9A== 77de3bd0b055db387d02c9c9eafbfb627fff0d02b36d0ae0a84e5adb543f5e6e JS8nlIAb3eC/J6hTzGbv3hBLVuSvYRGj/eE8RfcGgQV3HnSccZl6eJVME7m28R7MduJ0qkSAO9YCtGnLPIW1ZA== ZzmuC+Kx/VDQR+1l0B87L19VNpiLYjcEfnTbyio/o5Ma2aihyvWbJhs8RHpkbd7j8UWyjv9J215nvTThwxUtmw== zPydrmBPWTmn6AdVJfFvHgR0mcvCOCKz6K+2EuNRl0S2ge5sCUese8mHVob7UqOkAuyMBr9nxbbOVQSp8q0v7w==
113127 424 2024-03-20T18:18:18.711Z 2024-03-20T18:18:16.358Z c20345aab707fb8b7d2c9602b87b9a82fb427635ccc74040ebec3fee0ec0d10c 4f460e0f758f15e9a0591cfb423eba12d866819d5e2323444c7fddfd8d4571b1 c286a0add75bbdaef8b06293394e31769d70c3a154a8d9ace70f29e9be888f0c 9b86694101b927818d8f409047b6d2000fdb8e0d04dcfbb78275369e1b485f9c c474e8ad2b440e39bf755923eba0048bfd859b702d1d5627b02dd86c914e51a4 AME RGS 8 035f7fd2386f38c0a94386554105bff832ca12d47623df988f2b9ba99153dbaf6b 03b30c90631facc77bc8fe8388067b3088fccbe9a220106642723aef65b83afd82 RJj/JakXYjzfW8sftFFz1uQMvjkZuYKqTxhPRGX8C1EqiKUrVleEOZ8tQwdu9EzsTckcobG7HfrLzDcdvjOOjA== 9b86694101b927818d8f409047b6d2000fdb8e0d04dcfbb78275369e1b485f9c HnxohFtc/rUHe5yinT2io/SDWX6qKcCKAqbfM3c89G634BN5vwgbFKFTaew4zjH43FxkgT+BOTmxQF6WAxUUPw== EeUvJC43QgHeF+lI3phO1L7LrQv6YXN5GTBCY3cfPND7QZw4ZiREPecFyq+S5rq13zCRagcCLi4qYxQcqTT2ow== EScL30r26DzmUfcR3I9nbc0KDGTP/OurAtupE1WPFB1/94xUcUBVUmvj/Kx3fTeQ0sFocMDJg9FTTJEXVI31og==
